x,y
1.000000000000000000e+01,5.000000000000000000e+00
1.005031286413700364e+01,4.962733713699241100e+00
1.010125294390498318e+01,4.925932215970990846e+00
1.015282250546258780e+01,4.889591578492681556e+00
1.020502386179938803e+01,4.853707912830264704e+00
1.025785937273588111e+01,4.818277370438209140e+00
1.031133144492348563e+01,4.783296142659509087e+00
1.036544253184454689e+01,4.748760460725673482e+00
1.042019513381233153e+01,4.714666595756735745e+00
1.047559179797103468e+01,4.681010858761245785e+00
1.053163511829576926e+01,4.647789600636276219e+00
1.058832580959890102e+01,4.615000231070795600e+00
1.064565688970844093e+01,4.582644367986008049e+00
1.070363095474134418e+01,4.550718724630867129e+00
1.076225214174357347e+01,4.519219257173969773e+00
1.082152457036282023e+01,4.488141982124978391e+00
1.088145234284850460e+01,4.457482976334615543e+00
1.094203954405177370e+01,4.427238376994671931e+00
1.100329024142550338e+01,4.397404381638001070e+00
1.106520848502430177e+01,4.367977248138521063e+00
1.112779830750450039e+01,4.338953294711212827e+00
1.119106372412416306e+01,4.310328899912123646e+00
1.125500873274308056e+01,4.282100502638364503e+00
1.131963731382277238e+01,4.254264602128109196e+00
1.138495343042648678e+01,4.226817757960597000e+00
1.145096102821919892e+01,4.199756590056131778e+00
1.151766403546761808e+01,4.173077778676081095e+00
1.158506636304017334e+01,4.146778064422876220e+00
1.165317190440702966e+01,4.120854248240014783e+00
1.172198453564007892e+01,4.095303191412055455e+00
1.179150811541293820e+01,4.070121815564622381e+00
1.186174648500095685e+01,4.045307102664406962e+00
1.193270346828121298e+01,4.020856095019160747e+00
1.200438287173250984e+01,3.996765895277700764e+00
1.207678848443538300e+01,3.973033666429909516e+00
1.214992407807209318e+01,3.949656631806732321e+00
1.222379340692663163e+01,3.926632075080179973e+00
1.229840020788471833e+01,3.903957340263326081e+00
1.237374820043380019e+01,3.881629831710309730e+00
1.244984108666305644e+01,3.859647014116334152e+00
1.252668255126339147e+01,3.838006412517665833e+00
1.260427626152743841e+01,3.816705612291636740e+00
1.268262586734955732e+01,3.795742259156642540e+00
1.276173500122584414e+01,3.775114059172143044e+00
1.284160727825411463e+01,3.754818778738662211e+00
1.292224629613391684e+01,3.734854244597788142e+00
1.300365563516653111e+01,3.715218343832174419e+00
1.308583885825495940e+01,3.695909023865538323e+00
1.316879951090393419e+01,3.676924292462659505e+00
1.325254112121992200e+01,3.658262217729384869e+00
1.333706719991111100e+01,3.639920928112623244e+00
1.342238124028741986e+01,3.621898612400348938e+00
1.350848671826049774e+01,3.604193519721600403e+00
1.359538709234372256e+01,3.586803959546479348e+00
1.368308580365219917e+01,3.569728301686152960e+00
1.377158627590275941e+01,3.552964976292853017e+00
1.386089191541396559e+01,3.536512473859873218e+00
1.395100611110611055e+01,3.520369345221574520e+00
1.404193223450121053e+01,3.504534201553379802e+00
1.413367363972301760e+01,3.489005714371777422e+00
1.422623366349700724e+01,3.473782615534319440e+00
1.431961562515038366e+01,3.458863697239622059e+00
1.441382282661207981e+01,3.444247812027366074e+00
1.450885855241275735e+01,3.429933872778297754e+00
1.460472606968481202e+01,3.415920852714224853e+00
1.470142862816235763e+01,3.402207785398021933e+00
1.479896946018124382e+01,3.388793764733626368e+00
1.489735178067904897e+01,3.375677944966039234e+00
1.499657878719507487e+01,3.362859540681329307e+00
1.509665365987035912e+01,3.350337826806624619e+00
1.519757956144766098e+01,3.338112138610120461e+00
1.529935963727147019e+01,3.326181871701077597e+00
1.540199701528801057e+01,3.314546482029817831e+00
1.550549480604522401e+01,3.303205485887728443e+00
1.560985610269279533e+01,3.292158459907262191e+00
1.571508398098212211e+01,3.281405041061934647e+00
1.582118149926634132e+01,3.270944926666325969e+00
1.592815169850031509e+01,3.260777874376081797e+00
1.603599760224063075e+01,3.250903702187909694e+00
1.614472221664561147e+01,3.241322288439583588e+00
1.625432853047530557e+01,3.232033571809940664e+00
1.636481951509148658e+01,3.223037551318881810e+00
1.647619812445766030e+01,3.214334286327373391e+00
1.658846729513906126e+01,3.205923896537445916e+00
1.670162994630265274e+01,3.197806561992193153e+00
1.681568897971712317e+01,3.189982523075774790e+00
1.693064727975288974e+01,3.182452080513411552e+00
1.704650771338210902e+01,3.175215595371392308e+00
1.716327313017864853e+01,3.168273489057067849e+00
1.728094636231811521e+01,3.161626243318854890e+00
1.739953022457784471e+01,3.155274400246231625e+00
1.751902751433689787e+01,3.149218562269743060e+00
1.763944101157606781e+01,3.143459392160997012e+00
1.776077347887786928e+01,3.137997613032667665e+00
1.788302766142655287e+01,3.132834008338489795e+00
1.800620628700809434e+01,3.127969421873266320e+00
1.813031206601019818e+01,3.123404757772862084e+00
1.825534769142229763e+01,3.119140980514205630e+00
1.838131583883556175e+01,3.115179114915293201e+00
1.850821916644286702e+01,3.111520246135180745e+00
1.863606031503884708e+01,3.108165519673991462e+00
1.876484190801983942e+01,3.105116141372913141e+00
1.889456655138392449e+01,3.102373377414195055e+00
1.902523683373090790e+01,3.099938554321153283e+00
1.915685532626232046e+01,3.097813058958167609e+00
1.928942458278142880e+01,3.095998338530680627e+00
1.942294713969322117e+01,3.094495900585200854e+00
1.955742551600441459e+01,3.093307313009300508e+00
1.969286221332345832e+01,3.092434204031616396e+00
1.982925971586052682e+01,3.091878262221849027e+00
1.996662049042753040e+01,3.091641236490763056e+00
2.010494698643809386e+01,3.091724936090187725e+00
2.024424163590758852e+01,3.092131230613016868e+00
2.038450685345310021e+01,3.092862049993208906e+00
2.052574503629345060e+01,3.093919384505784187e+00
2.066795856424918298e+01,3.095305284766829867e+00
2.081105749431761609e+01,3.097051642128703097e+00
2.095488901837401485e+01,3.099210763842673799e+00
2.109947074433395287e+01,3.101780054775639783e+00
2.124482263973471063e+01,3.104756159684955552e+00
2.139096358517717889e+01,3.108136074461608001e+00
2.153791137432588343e+01,3.111917146130219081e+00
2.168568271390897095e+01,3.116097072849042249e+00
2.183429322371821968e+01,3.120673903909966018e+00
2.198375743660903225e+01,3.125646039738511295e+00
2.213408879850043220e+01,3.131012231893832265e+00
2.228529966837507459e+01,3.136771583068717284e+00
2.243740131827923534e+01,3.142923547089587988e+00
2.259040393332282548e+01,3.149467928916498405e+00
2.274431661167936980e+01,3.156404884643138065e+00
2.289914736458603173e+01,3.163734921496827113e+00
2.305490311634358847e+01,3.171458897838521640e+00
2.321158970431645230e+01,3.179578023162809686e+00
2.336921187893265639e+01,3.188093858097913458e+00
2.352777330368386188e+01,3.197008314405687557e+00
2.368727655512535790e+01,3.206323654981621640e+00
2.384772312287605445e+01,3.216042493854836870e+00
2.400911340961848950e+01,3.226167796188089021e+00
2.417144673109883257e+01,3.236702878277767148e+00
2.433472131612687051e+01,3.247651407553893144e+00
2.449893430657602522e+01,3.259017402580123512e+00
2.466408175738332886e+01,3.270805233053746708e+00
2.483015863654945932e+01,3.283019619805685352e+00
2.499715882513871179e+01,3.295665634800495791e+00
2.516507511727900237e+01,3.308748701136367210e+00
2.533389922016187867e+01,3.322274593045122071e+00
2.550362175404251275e+01,3.336249435892217008e+00
2.567423225223970817e+01,3.350679706176741490e+00
2.584571916113588230e+01,3.365572231531418268e+00
2.601806984017709112e+01,3.380934190722603816e+00
2.619127056187301150e+01,3.396773113650287890e+00
