iter	Passed	Remaining
0	6	675
1	13	669
2	18	593
3	23	562
4	26	506
5	29	461
6	32	428
7	34	401
8	38	386
9	40	367
10	43	354
11	46	342
12	49	331
13	52	324
14	57	325
15	61	323
16	65	317
17	68	313
18	72	307
19	78	313
20	81	308
21	85	303
22	88	297
23	94	299
24	99	298
25	103	293
26	107	291
27	112	288
28	114	280
29	117	274
30	120	267
31	123	262
32	128	260
33	131	255
34	134	249
35	137	244
36	144	246
37	149	243
38	152	238
39	157	236
40	160	231
41	164	226
42	167	221
43	170	216
44	174	213
45	178	209
46	182	205
47	187	202
48	191	198
49	194	194
50	198	190
51	201	185
52	205	182
53	210	179
54	213	174
55	217	170
56	221	166
57	224	162
58	227	157
59	231	154
60	234	149
61	238	145
62	241	141
63	244	137
64	247	133
65	253	130
66	255	126
67	258	121
68	261	117
69	264	113
70	267	109
71	270	105
72	273	101
73	275	96
74	278	92
75	281	88
76	286	85
77	289	81
78	292	77
79	294	73
80	301	70
81	304	66
82	306	62
83	309	58
84	312	55
85	315	51
86	319	47
87	322	43
88	325	40
89	328	36
90	331	32
91	334	29
92	338	25
93	342	21
94	345	18
95	349	14
96	353	10
97	356	7
98	360	3
99	363	0
