Date,Action,Price
2014-10-27,SELL,352.989014
2014-10-29,BUY,335.591003
2014-10-30,SELL,345.304993
2014-10-31,BUY,338.321014
2014-11-05,SELL,339.485992
2014-11-06,BUY,349.290009
2014-12-12,SELL,352.541992
2014-12-16,BUY,327.062012
2014-12-20,SELL,329.955994
2014-12-21,BUY,320.842987
2014-12-22,SELL,331.885986
2014-12-23,BUY,334.571991
2014-12-26,SELL,327.924011
2014-12-27,BUY,315.863007
2014-12-28,SELL,317.239014
2014-12-29,BUY,312.670013
2015-01-01,SELL,314.248993
2015-01-04,BUY,264.195007
2015-01-07,SELL,294.337006
2015-01-14,BUY,178.102997
2015-01-26,SELL,273.472992
2015-01-31,BUY,217.464005
2015-02-04,SELL,226.852997
2015-02-05,BUY,217.110992
2015-02-14,SELL,257.321014
2015-02-15,BUY,234.824997
2015-03-17,SELL,285.505005
2015-03-18,BUY,256.299011
2015-03-23,SELL,266.73999
2015-03-25,BUY,246.197006
2015-03-27,SELL,247.029007
2015-03-29,BUY,242.712997
2015-03-30,SELL,247.526001
2015-04-01,BUY,247.272003
2015-04-05,SELL,260.597992
2015-04-06,BUY,255.492004
2015-04-11,SELL,236.552002
2015-04-14,BUY,219.158997
2015-04-16,SELL,228.572998
2015-04-17,BUY,222.882004
2015-07-13,SELL,292.053986
2015-07-14,BUY,287.463989
2015-08-11,SELL,270.385986
2015-08-18,BUY,211.078995
2015-09-21,SELL,227.085007
2015-09-23,BUY,230.283005
2015-11-05,SELL,386.354004
2015-11-06,BUY,374.470001
2016-01-04,SELL,433.091003
2016-01-06,BUY,429.105011
2016-01-07,SELL,458.048004
2016-01-09,BUY,447.610992
2016-01-12,SELL,435.690002
2016-01-15,BUY,364.330994
2016-01-20,SELL,420.230011
2016-01-21,BUY,410.261993
2016-01-24,SELL,402.971008
2016-01-25,BUY,391.726013
2016-01-29,SELL,379.473999
2016-01-31,BUY,368.766998
2016-02-02,SELL,374.447998
2016-02-03,BUY,369.949005
2016-06-20,SELL,737.226013
2016-06-22,BUY,596.116028
2016-08-07,SELL,592.690002
2016-08-08,BUY,591.054016
2016-08-12,SELL,587.559021
2016-08-14,BUY,570.473022
2016-09-23,SELL,602.84198
2016-09-25,BUY,600.825989
2017-01-04,SELL,1154.72998
2017-01-09,BUY,902.828003
2017-01-10,SELL,907.679016
2017-01-11,BUY,777.757019
2017-01-17,SELL,907.937988
2017-01-18,BUY,886.617981
2017-01-20,SELL,895.026001
2017-01-21,BUY,921.789001
2017-01-22,SELL,924.672974
2017-01-25,BUY,901.541992
2017-03-07,SELL,1223.540039
2017-03-08,BUY,1150.0
2017-03-17,SELL,1100.22998
2017-03-18,BUY,973.817993
2017-05-25,SELL,2304.97998
2017-05-27,BUY,2038.869995
2017-07-12,SELL,2398.840088
2017-07-13,BUY,2357.899902
2017-07-14,SELL,2233.340088
2017-07-15,BUY,1998.859985
2017-07-20,SELL,2817.600098
2017-07-21,BUY,2667.76001
2017-09-12,SELL,4130.810059
2017-09-14,BUY,3154.949951
2017-09-15,SELL,3637.52002
2017-09-16,BUY,3625.040039
2017-10-23,SELL,5930.319824
2017-10-24,BUY,5526.640137
2017-11-09,SELL,7143.580078
2017-11-11,BUY,6357.600098
2017-12-08,SELL,16569.400391
2017-12-10,BUY,15455.400391
2017-12-13,SELL,16408.199219
2017-12-14,BUY,16564.0
2017-12-19,SELL,17776.699219
2017-12-22,BUY,13831.799805
2017-12-23,SELL,14699.200195
2017-12-24,BUY,13925.799805
2017-12-26,SELL,16099.799805
2017-12-28,BUY,14606.5
2017-12-29,SELL,14656.200195
2017-12-30,BUY,12952.200195
2017-12-31,SELL,14156.400391
2018-01-01,BUY,13657.200195
2018-01-02,SELL,14982.099609
2018-01-03,BUY,15201.0
2018-01-06,SELL,17527.0
2018-01-11,BUY,13405.799805
2018-01-12,SELL,13980.599609
2018-01-14,BUY,13772.0
2018-01-15,SELL,13819.799805
2018-01-16,BUY,11490.5
2018-01-18,SELL,11474.900391
2018-01-19,BUY,11607.400391
2018-01-20,SELL,12899.200195
2018-01-23,BUY,10868.400391
2018-01-24,SELL,11359.400391
2018-01-26,BUY,11171.400391
2018-01-28,SELL,11786.299805
2018-02-01,BUY,9170.540039
2018-02-03,SELL,9174.910156
2018-02-05,BUY,6955.27002
2018-02-06,SELL,7754.0
2018-02-07,BUY,7621.299805
2018-02-10,SELL,8621.900391
2018-02-11,BUY,8129.970215
2018-02-17,SELL,11112.700195
2018-02-18,BUY,10551.799805
2018-02-21,SELL,10690.400391
2018-02-22,BUY,10005.0
2018-03-05,SELL,11573.299805
2018-03-08,BUY,9395.009766
2018-03-09,SELL,9337.549805
2018-03-10,BUY,8866.0
2018-03-11,SELL,9578.629883
2018-03-17,BUY,7916.879883
2018-03-18,SELL,8223.679688
2018-03-20,BUY,8913.469727
2018-03-21,SELL,8929.280273
2018-03-22,BUY,8728.469727
2018-03-23,SELL,8879.620117
2018-03-30,BUY,6890.52002
2018-03-31,SELL,6973.529785
2018-04-01,BUY,6844.22998
2018-04-03,SELL,7456.109863
2018-04-04,BUY,6853.839844
2018-04-08,SELL,7023.52002
2018-04-09,BUY,6770.72998
2018-04-25,SELL,8845.740234
2018-04-26,BUY,9281.509766
2018-05-08,SELL,9234.820313
2018-05-09,BUY,9325.179688
2018-05-10,SELL,9043.94043
2018-05-11,BUY,8441.490234
2018-05-12,SELL,8504.889648
2018-05-17,BUY,8094.319824
2018-05-18,SELL,8250.969727
2018-05-19,BUY,8247.179688
2018-05-20,SELL,8513.25
2018-05-23,BUY,7557.819824
2018-05-25,SELL,7480.140137
2018-05-26,BUY,7355.879883
2018-05-29,SELL,7472.589844
2018-05-30,BUY,7406.52002
2018-06-01,SELL,7541.450195
2018-06-05,BUY,7633.759766
2018-06-09,SELL,7531.97998
2018-06-10,BUY,6786.02002
2018-06-11,SELL,6906.919922
2018-06-12,BUY,6582.359863
2018-06-14,SELL,6675.350098
2018-06-15,BUY,6456.580078
2018-06-16,SELL,6550.160156
2018-06-17,BUY,6499.27002
2018-06-19,SELL,6769.939941
2018-06-22,BUY,6083.689941
2018-06-23,SELL,6162.47998
2018-06-24,BUY,6173.22998
2018-06-27,SELL,6157.129883
2018-06-28,BUY,5903.439941
2018-08-02,SELL,7567.149902
2018-08-04,BUY,7032.850098
2018-08-05,SELL,7068.47998
2018-08-08,BUY,6305.799805
2018-08-09,SELL,6568.22998
2018-08-10,BUY,6184.709961
2018-08-17,SELL,6580.629883
